Year,Round,Tournament
1996,SF,Euros
1998,Rof16,World Cup
2000,GS,Euros
2002,QF,World Cup
2004,QF,Euros
2006,QF,World Cup
2008,DNQ,Euros
2010,Rof16,World Cup
2012,QF,Euros
2014,GS,World Cup
2016,Rof16,Euros
2018,SF,World Cup
2020,F,Euros
2022,QF,World Cup
2024,F,Euros
2026,SF,World Cup
